ts,funding_rate
2024-08-14 00:00:00,1.152e-05
2024-08-14 08:00:00,-1.33e-05
2024-08-14 16:00:00,-7.811e-05
2024-08-15 00:00:00,-8.488e-05
2024-08-15 08:00:00,6.339e-05
2024-08-15 16:00:00,-6.181e-05
2024-08-16 00:00:00,-0.00011235
2024-08-16 08:00:00,-7.387e-05
2024-08-16 16:00:00,-5.57e-06
2024-08-17 00:00:00,1.912e-05
2024-08-17 08:00:00,4.177e-05
2024-08-17 16:00:00,-1.52e-06
2024-08-18 00:00:00,3.966e-05
2024-08-18 08:00:00,-1.323e-05
2024-08-18 16:00:00,-3.149e-05
2024-08-19 00:00:00,-3.616e-05
2024-08-19 08:00:00,-6.75e-05
2024-08-19 16:00:00,-1.957e-05
2024-08-20 00:00:00,-2.656e-05
2024-08-20 08:00:00,1.349e-05
2024-08-20 16:00:00,1.419e-05
2024-08-21 00:00:00,-6.756e-05
2024-08-21 08:00:00,-5.91e-06
2024-08-21 16:00:00,3.96e-06
2024-08-22 00:00:00,-2.229e-05
2024-08-22 08:00:00,1.338e-05
2024-08-22 16:00:00,-7.261e-05
2024-08-23 00:00:00,-3.329e-05
2024-08-23 08:00:00,2.391e-05
2024-08-23 16:00:00,-4.317e-05
2024-08-24 00:00:00,-7.72e-06
2024-08-24 08:00:00,-7.23e-06
2024-08-24 16:00:00,6.395e-05
2024-08-25 00:00:00,-4.806e-05
2024-08-25 08:00:00,-1.531e-05
2024-08-25 16:00:00,3.108e-05
2024-08-26 00:00:00,2.439e-05
2024-08-26 08:00:00,3.448e-05
2024-08-26 16:00:00,3.789e-05
2024-08-27 00:00:00,2.795e-05
2024-08-27 08:00:00,1.751e-05
2024-08-27 16:00:00,7.753e-05
2024-08-28 00:00:00,-6.803e-05
2024-08-28 08:00:00,2.433e-05
2024-08-28 16:00:00,1.143e-05
2024-08-29 00:00:00,-9.76e-06
2024-08-29 08:00:00,-1.644e-05
2024-08-29 16:00:00,5.59e-06
2024-08-30 00:00:00,9.36e-06
2024-08-30 08:00:00,3.578e-05
2024-08-30 16:00:00,2.927e-05
2024-08-31 00:00:00,-1.749e-05
2024-08-31 08:00:00,3.578e-05
2024-08-31 16:00:00,3.8e-05
2024-09-01 00:00:00,4.113e-05
2024-09-01 08:00:00,-3.432e-05
2024-09-01 16:00:00,-3.82e-06
2024-09-02 00:00:00,-3.386e-05
2024-09-02 08:00:00,2.48e-06
2024-09-02 16:00:00,-3.63e-06
2024-09-03 00:00:00,6.245e-05
2024-09-03 08:00:00,5.123e-05
2024-09-03 16:00:00,4.598e-05
2024-09-04 00:00:00,2.209e-05
2024-09-04 08:00:00,1.05e-05
2024-09-04 16:00:00,-1.47e-05
2024-09-05 00:00:00,9.016e-05
2024-09-05 08:00:00,2.025e-05
2024-09-05 16:00:00,2.49e-05
2024-09-06 00:00:00,2.28e-05
2024-09-06 08:00:00,-1e-08
2024-09-06 16:00:00,1.428e-05
2024-09-07 00:00:00,-5.57e-06
2024-09-07 08:00:00,-7.634e-05
2024-09-07 16:00:00,-7.236e-05
2024-09-08 00:00:00,3.745e-05
2024-09-08 08:00:00,-5.999e-05
2024-09-08 16:00:00,-5.245e-05
2024-09-09 00:00:00,-7.585e-05
2024-09-09 08:00:00,-7.108e-05
2024-09-09 16:00:00,-3.875e-05
2024-09-10 00:00:00,-6.028e-05
2024-09-10 08:00:00,-2.93e-05
2024-09-10 16:00:00,-1.126e-05
2024-09-11 00:00:00,-8.953e-05
2024-09-11 08:00:00,-2.247e-05
2024-09-11 16:00:00,-5.212e-05
2024-09-12 00:00:00,-1.951e-05
2024-09-12 08:00:00,-5.46e-06
2024-09-12 16:00:00,-2.95e-05
2024-09-13 00:00:00,-6.9e-07
2024-09-13 08:00:00,-8.69e-06
2024-09-13 16:00:00,-2.443e-05
2024-09-14 00:00:00,-8.699e-05
2024-09-14 08:00:00,8.59e-06
2024-09-14 16:00:00,2.326e-05
2024-09-15 00:00:00,-4.91e-06
2024-09-15 08:00:00,1e-08
2024-09-15 16:00:00,4.02e-06
2024-09-16 00:00:00,2.402e-05
2024-09-16 08:00:00,3.564e-05
2024-09-16 16:00:00,6.762e-05
2024-09-17 00:00:00,8.529e-05
2024-09-17 08:00:00,1.911e-05
2024-09-17 16:00:00,5.327e-05
2024-09-18 00:00:00,1.344e-05
2024-09-18 08:00:00,1.678e-05
2024-09-18 16:00:00,4.648e-05
2024-09-19 00:00:00,3.512e-05
2024-09-19 08:00:00,2.949e-05
2024-09-19 16:00:00,4.072e-05
2024-09-20 00:00:00,8.065e-05
2024-09-20 08:00:00,-5.03e-06
2024-09-20 16:00:00,5.543e-05
2024-09-21 00:00:00,4.638e-05
2024-09-21 08:00:00,0.0001
2024-09-21 16:00:00,8.234e-05
2024-09-22 00:00:00,6.285e-05
2024-09-22 08:00:00,9.254e-05
2024-09-22 16:00:00,5.537e-05
2024-09-23 00:00:00,6.546e-05
2024-09-23 08:00:00,1.364e-05
2024-09-23 16:00:00,5.304e-05
2024-09-24 00:00:00,2.324e-05
2024-09-24 08:00:00,2.895e-05
2024-09-24 16:00:00,-1.82e-06
2024-09-25 00:00:00,1.223e-05
2024-09-25 08:00:00,1.141e-05
2024-09-25 16:00:00,1.336e-05
2024-09-26 00:00:00,1.65e-05
2024-09-26 08:00:00,6.246e-05
2024-09-26 16:00:00,0.0001
2024-09-27 00:00:00,0.0001
2024-09-27 08:00:00,6.722e-05
2024-09-27 16:00:00,2.275e-05
2024-09-28 00:00:00,5.455e-05
2024-09-28 08:00:00,8.3e-05
2024-09-28 16:00:00,1.414e-05
2024-09-29 00:00:00,7.25e-06
2024-09-29 08:00:00,3.128e-05
2024-09-29 16:00:00,7.253e-05
2024-09-30 00:00:00,3.077e-05
2024-09-30 08:00:00,7.939e-05
2024-09-30 16:00:00,0.0001
2024-10-01 00:00:00,0.0001
2024-10-01 08:00:00,0.0001
2024-10-01 16:00:00,0.0001
2024-10-02 00:00:00,6.632e-05
2024-10-02 08:00:00,8.409e-05
2024-10-02 16:00:00,8.191e-05
2024-10-03 00:00:00,4.381e-05
2024-10-03 08:00:00,3.746e-05
2024-10-03 16:00:00,4.99e-05
2024-10-04 00:00:00,7.097e-05
2024-10-04 08:00:00,2.119e-05
2024-10-04 16:00:00,2.43e-06
2024-10-05 00:00:00,-1.596e-05
2024-10-05 08:00:00,1.088e-05
2024-10-05 16:00:00,8.61e-06
2024-10-06 00:00:00,5.72e-06
2024-10-06 08:00:00,3.288e-05
2024-10-06 16:00:00,4.18e-05
2024-10-07 00:00:00,4.573e-05
2024-10-07 08:00:00,-9.52e-06
2024-10-07 16:00:00,2.177e-05
2024-10-08 00:00:00,-1.678e-05
2024-10-08 08:00:00,7.094e-05
2024-10-08 16:00:00,8.1e-05
2024-10-09 00:00:00,0.0001
2024-10-09 08:00:00,5.138e-05
2024-10-09 16:00:00,7.939e-05
2024-10-10 00:00:00,2.09e-05
2024-10-10 08:00:00,1.532e-05
2024-10-10 16:00:00,0.0001
2024-10-11 00:00:00,2.231e-05
2024-10-11 08:00:00,-1.874e-05
2024-10-11 16:00:00,1.2e-06
2024-10-12 00:00:00,4.558e-05
2024-10-12 08:00:00,7.664e-05
2024-10-12 16:00:00,-1.489e-05
2024-10-13 00:00:00,6.93e-06
2024-10-13 08:00:00,1.638e-05
2024-10-13 16:00:00,3.938e-05
2024-10-14 00:00:00,5.429e-05
2024-10-14 08:00:00,0.0001
2024-10-14 16:00:00,0.0001
2024-10-15 00:00:00,0.0001
2024-10-15 08:00:00,0.0001
2024-10-15 16:00:00,0.0001
2024-10-16 00:00:00,8.325e-05
2024-10-16 08:00:00,8.5e-05
2024-10-16 16:00:00,0.0001
2024-10-17 00:00:00,0.0001
2024-10-17 08:00:00,0.0001
2024-10-17 16:00:00,0.0001
2024-10-18 00:00:00,0.0001
2024-10-18 08:00:00,0.0001
2024-10-18 16:00:00,0.0001
2024-10-19 00:00:00,0.0001
2024-10-19 08:00:00,0.0001
2024-10-19 16:00:00,0.0001
2024-10-20 00:00:00,0.0001
2024-10-20 08:00:00,0.0001
2024-10-20 16:00:00,0.0001
2024-10-21 00:00:00,0.0001
2024-10-21 08:00:00,0.0001
2024-10-21 16:00:00,0.0001
2024-10-22 00:00:00,0.0001
2024-10-22 08:00:00,0.0001
2024-10-22 16:00:00,0.0001
2024-10-23 00:00:00,0.0001
2024-10-23 08:00:00,0.0001
2024-10-23 16:00:00,0.0001
2024-10-24 00:00:00,0.0001
2024-10-24 08:00:00,0.0001
2024-10-24 16:00:00,0.0001
2024-10-25 00:00:00,0.0001
2024-10-25 08:00:00,0.0001
2024-10-25 16:00:00,0.0001
2024-10-26 00:00:00,4.755e-05
2024-10-26 08:00:00,7.569e-05
2024-10-26 16:00:00,0.0001
2024-10-27 00:00:00,0.0001
2024-10-27 08:00:00,9.724e-05
2024-10-27 16:00:00,0.0001
2024-10-28 00:00:00,9.425e-05
2024-10-28 08:00:00,0.0001
2024-10-28 16:00:00,8.946e-05
2024-10-29 00:00:00,0.0001
2024-10-29 08:00:00,0.0001
2024-10-29 16:00:00,0.0001
2024-10-30 00:00:00,0.0001
2024-10-30 08:00:00,0.0001
2024-10-30 16:00:00,0.0001
2024-10-31 00:00:00,0.0001
2024-10-31 08:00:00,0.0001
2024-10-31 16:00:00,0.0001
2024-11-01 00:00:00,0.0001
2024-11-01 08:00:00,0.0001
2024-11-01 16:00:00,0.0001
2024-11-02 00:00:00,0.0001
2024-11-02 08:00:00,0.0001
2024-11-02 16:00:00,0.0001
2024-11-03 00:00:00,0.0001
2024-11-03 08:00:00,0.0001
2024-11-03 16:00:00,0.0001
2024-11-04 00:00:00,0.0001
2024-11-04 08:00:00,0.0001
2024-11-04 16:00:00,0.0001
2024-11-05 00:00:00,0.0001
2024-11-05 08:00:00,0.0001
2024-11-05 16:00:00,0.0001
2024-11-06 00:00:00,0.0001
2024-11-06 08:00:00,0.0001
2024-11-06 16:00:00,0.0001
2024-11-07 00:00:00,0.0001
2024-11-07 08:00:00,0.0001
2024-11-07 16:00:00,0.0001
2024-11-08 00:00:00,0.0001
2024-11-08 08:00:00,0.0001
2024-11-08 16:00:00,0.0001
2024-11-09 00:00:00,0.0001
2024-11-09 08:00:00,0.0001
2024-11-09 16:00:00,0.0001
2024-11-10 00:00:00,0.0001
2024-11-10 08:00:00,0.00025603
2024-11-10 16:00:00,0.00014113
2024-11-11 00:00:00,0.00036878
2024-11-11 08:00:00,0.0001
2024-11-11 16:00:00,0.0001
2024-11-12 00:00:00,0.00049133
2024-11-12 08:00:00,0.00043737
2024-11-12 16:00:00,0.00038754
2024-11-13 00:00:00,0.0001
2024-11-13 08:00:00,0.00013101
2024-11-13 16:00:00,0.00021856
2024-11-14 00:00:00,0.0001
2024-11-14 08:00:00,0.0001
2024-11-14 16:00:00,0.0001
2024-11-15 00:00:00,0.0001
2024-11-15 08:00:00,0.0001
2024-11-15 16:00:00,0.00010977
2024-11-16 00:00:00,0.0001
2024-11-16 08:00:00,0.0001
2024-11-16 16:00:00,0.00013231
2024-11-17 00:00:00,0.00015765
2024-11-17 08:00:00,0.0001
2024-11-17 16:00:00,0.00010577
2024-11-18 00:00:00,0.0001
2024-11-18 08:00:00,0.0003645
2024-11-18 16:00:00,0.00021318
2024-11-19 00:00:00,0.00021606
2024-11-19 08:00:00,0.00030216
2024-11-19 16:00:00,0.00017959
2024-11-20 00:00:00,0.0001
2024-11-20 08:00:00,0.0001
2024-11-20 16:00:00,0.0001
2024-11-21 00:00:00,0.0001
2024-11-21 08:00:00,0.0001
2024-11-21 16:00:00,0.0001
2024-11-22 00:00:00,0.0001
2024-11-22 08:00:00,0.0001
2024-11-22 16:00:00,0.0001
2024-11-23 00:00:00,0.0001
2024-11-23 08:00:00,0.0001
2024-11-23 16:00:00,0.0001
2024-11-24 00:00:00,0.0001
2024-11-24 08:00:00,0.00016148
2024-11-24 16:00:00,0.00023228
2024-11-25 00:00:00,0.00021035
2024-11-25 08:00:00,0.0001
2024-11-25 16:00:00,0.00025233
2024-11-26 00:00:00,0.00021902
2024-11-26 08:00:00,0.00017936
2024-11-26 16:00:00,0.00029599
2024-11-27 00:00:00,0.00031205
2024-11-27 08:00:00,0.00016795
2024-11-27 16:00:00,0.0001
2024-11-28 00:00:00,0.0001
2024-11-28 08:00:00,0.00014326
2024-11-28 16:00:00,0.00011859
2024-11-29 00:00:00,0.00020619
2024-11-29 08:00:00,0.00011747
2024-11-29 16:00:00,0.00021921
2024-11-30 00:00:00,0.0001
2024-11-30 08:00:00,0.00015909
2024-11-30 16:00:00,0.00012063
2024-12-01 00:00:00,0.00015901
2024-12-01 08:00:00,0.00019581
2024-12-01 16:00:00,0.0001
2024-12-02 00:00:00,0.00025726
2024-12-02 08:00:00,0.00024556
2024-12-02 16:00:00,0.00013387
2024-12-03 00:00:00,0.00012779
2024-12-03 08:00:00,0.00024926
2024-12-03 16:00:00,0.00011952
2024-12-04 00:00:00,0.00026634
2024-12-04 08:00:00,0.00026254
2024-12-04 16:00:00,0.00023234
2024-12-05 00:00:00,0.00027625
2024-12-05 08:00:00,0.00072446
2024-12-05 16:00:00,0.00047059
2024-12-06 00:00:00,0.0001
2024-12-06 08:00:00,0.00014634
2024-12-06 16:00:00,0.0001
2024-12-07 00:00:00,0.00031972
2024-12-07 08:00:00,0.00012374
2024-12-07 16:00:00,0.0001409
2024-12-08 00:00:00,0.00016985
2024-12-08 08:00:00,0.00016572
2024-12-08 16:00:00,0.0001758
2024-12-09 00:00:00,0.00030413
2024-12-09 08:00:00,0.00021032
2024-12-09 16:00:00,0.00011115
2024-12-10 00:00:00,0.0001
2024-12-10 08:00:00,0.0001
2024-12-10 16:00:00,0.0001
2024-12-11 00:00:00,0.0001
2024-12-11 08:00:00,0.0001
2024-12-11 16:00:00,0.0001
2024-12-12 00:00:00,0.0001
2024-12-12 08:00:00,0.0001
2024-12-12 16:00:00,0.0001
2024-12-13 00:00:00,0.0001
