== STRESS START 2025-10-14T22:44:38Z ==
TAG                | PL | FLIPS |  FEE/SLIP |         S0 |      S_ADJ |       MDD | RES
PROD_E1_Y2_2022    | E1 |     0 |    2/1    |   2.921250 |   2.921250 |  0.104540 | FAIL
PROD_E1_Y2_2022    | E1 |     0 |    2/2    |   2.921250 |   2.190938 |  0.104540 | FAIL
PROD_E1_Y2_2022    | E1 |     0 |    2/3    |   2.921250 |   1.752750 |  0.104540 | FAIL
PROD_E1_Y2_2022    | E1 |     0 |    3/1    |   2.921250 |   2.190938 |  0.104540 | FAIL
PROD_E1_Y2_2022    | E1 |     0 |    3/2    |   2.921250 |   1.752750 |  0.104540 | FAIL
PROD_E1_Y2_2022    | E1 |     0 |    3/3    |   2.921250 |   1.460625 |  0.104540 | FAIL
PROD_E1_Y2_2022    | E1 |     0 |    4/1    |   2.921250 |   1.752750 |  0.104540 | FAIL
PROD_E1_Y2_2022    | E1 |     0 |    4/2    |   2.921250 |   1.460625 |  0.104540 | FAIL
PROD_E1_Y2_2022    | E1 |     0 |    4/3    |   2.921250 |   1.251964 |  0.104540 | FAIL
PROD_E1_Y2_2022    | E1 |     0 |    5/1    |   2.921250 |   1.460625 |  0.104540 | FAIL
PROD_E1_Y2_2022    | E1 |     0 |    5/2    |   2.921250 |   1.251964 |  0.104540 | FAIL
PROD_E1_Y2_2022    | E1 |     0 |    5/3    |   2.921250 |   1.095469 |  0.104540 | FAIL
PROD_KISSv1_2023   | V1 |     0 |    2/1    |   2.641397 |   2.641397 |  0.936073 | PASS
PROD_KISSv1_2023   | V1 |     0 |    2/2    |   2.641397 |   1.981048 |  0.936073 | PASS
PROD_KISSv1_2023   | V1 |     0 |    2/3    |   2.641397 |   1.584838 |  0.936073 | PASS
PROD_KISSv1_2023   | V1 |     0 |    3/1    |   2.641397 |   1.981048 |  0.936073 | PASS
PROD_KISSv1_2023   | V1 |     0 |    3/2    |   2.641397 |   1.584838 |  0.936073 | PASS
PROD_KISSv1_2023   | V1 |     0 |    3/3    |   2.641397 |   1.320698 |  0.936073 | PASS
PROD_KISSv1_2023   | V1 |     0 |    4/1    |   2.641397 |   1.584838 |  0.936073 | PASS
PROD_KISSv1_2023   | V1 |     0 |    4/2    |   2.641397 |   1.320698 |  0.936073 | PASS
PROD_KISSv1_2023   | V1 |     0 |    4/3    |   2.641397 |   1.132027 |  0.936073 | FAIL
PROD_KISSv1_2023   | V1 |     0 |    5/1    |   2.641397 |   1.320698 |  0.936073 | PASS
PROD_KISSv1_2023   | V1 |     0 |    5/2    |   2.641397 |   1.132027 |  0.936073 | FAIL
PROD_KISSv1_2023   | V1 |     0 |    5/3    |   2.641397 |   0.990524 |  0.936073 | FAIL
PROD_KISSv1_2024   | V1 |     0 |    2/1    |   1.613240 |   1.613240 |  0.768424 | PASS
PROD_KISSv1_2024   | V1 |     0 |    2/2    |   1.613240 |   1.209930 |  0.768424 | PASS
PROD_KISSv1_2024   | V1 |     0 |    2/3    |   1.613240 |   0.967944 |  0.768424 | FAIL
PROD_KISSv1_2024   | V1 |     0 |    3/1    |   1.613240 |   1.209930 |  0.768424 | PASS
PROD_KISSv1_2024   | V1 |     0 |    3/2    |   1.613240 |   0.967944 |  0.768424 | FAIL
PROD_KISSv1_2024   | V1 |     0 |    3/3    |   1.613240 |   0.806620 |  0.768424 | FAIL
PROD_KISSv1_2024   | V1 |     0 |    4/1    |   1.613240 |   0.967944 |  0.768424 | FAIL
PROD_KISSv1_2024   | V1 |     0 |    4/2    |   1.613240 |   0.806620 |  0.768424 | FAIL
PROD_KISSv1_2024   | V1 |     0 |    4/3    |   1.613240 |   0.691389 |  0.768424 | FAIL
PROD_KISSv1_2024   | V1 |     0 |    5/1    |   1.613240 |   0.806620 |  0.768424 | FAIL
PROD_KISSv1_2024   | V1 |     0 |    5/2    |   1.613240 |   0.691389 |  0.768424 | FAIL
PROD_KISSv1_2024   | V1 |     0 |    5/3    |   1.613240 |   0.604965 |  0.768424 | FAIL
PROD_KISSv1_2025H1 | V1 |     0 |    2/1    |   1.138462 |   1.138462 |  0.741494 | FAIL
PROD_KISSv1_2025H1 | V1 |     0 |    2/2    |   1.138462 |   0.853847 |  0.741494 | FAIL
PROD_KISSv1_2025H1 | V1 |     0 |    2/3    |   1.138462 |   0.683077 |  0.741494 | FAIL
PROD_KISSv1_2025H1 | V1 |     0 |    3/1    |   1.138462 |   0.853847 |  0.741494 | FAIL
PROD_KISSv1_2025H1 | V1 |     0 |    3/2    |   1.138462 |   0.683077 |  0.741494 | FAIL
PROD_KISSv1_2025H1 | V1 |     0 |    3/3    |   1.138462 |   0.569231 |  0.741494 | FAIL
PROD_KISSv1_2025H1 | V1 |     0 |    4/1    |   1.138462 |   0.683077 |  0.741494 | FAIL
PROD_KISSv1_2025H1 | V1 |     0 |    4/2    |   1.138462 |   0.569231 |  0.741494 | FAIL
PROD_KISSv1_2025H1 | V1 |     0 |    4/3    |   1.138462 |   0.487912 |  0.741494 | FAIL
PROD_KISSv1_2025H1 | V1 |     0 |    5/1    |   1.138462 |   0.569231 |  0.741494 | FAIL
PROD_KISSv1_2025H1 | V1 |     0 |    5/2    |   1.138462 |   0.487912 |  0.741494 | FAIL
PROD_KISSv1_2025H1 | V1 |     0 |    5/3    |   1.138462 |   0.426923 |  0.741494 | FAIL
----
STRESS PASS=12  FAIL=36
